mean_test_score,params
0.8419121084618981,"{'max_depth': 11, 'min_samples_split': 4, 'n_estimators': 50}"
0.8418419822346891,"{'max_depth': 11, 'min_samples_split': 4, 'n_estimators': 89}"
0.8353669939223938,"{'max_depth': 11, 'min_samples_split': 4, 'n_estimators': 129}"
0.8353202431042543,"{'max_depth': 11, 'min_samples_split': 4, 'n_estimators': 168}"
0.8396680691912108,"{'max_depth': 11, 'min_samples_split': 4, 'n_estimators': 208}"
0.8353669939223936,"{'max_depth': 11, 'min_samples_split': 4, 'n_estimators': 247}"
0.8375175315568022,"{'max_depth': 11, 'min_samples_split': 4, 'n_estimators': 287}"
0.8353669939223936,"{'max_depth': 11, 'min_samples_split': 4, 'n_estimators': 327}"
0.8353669939223936,"{'max_depth': 11, 'min_samples_split': 4, 'n_estimators': 366}"
0.8331697054698457,"{'max_depth': 11, 'min_samples_split': 4, 'n_estimators': 406}"
0.8353669939223938,"{'max_depth': 11, 'min_samples_split': 4, 'n_estimators': 445}"
0.8353669939223938,"{'max_depth': 11, 'min_samples_split': 4, 'n_estimators': 485}"
0.8331930808789154,"{'max_depth': 11, 'min_samples_split': 4, 'n_estimators': 525}"
0.8353436185133241,"{'max_depth': 11, 'min_samples_split': 4, 'n_estimators': 564}"
0.8353202431042543,"{'max_depth': 11, 'min_samples_split': 4, 'n_estimators': 604}"
0.8353436185133241,"{'max_depth': 11, 'min_samples_split': 4, 'n_estimators': 643}"
0.8353436185133241,"{'max_depth': 11, 'min_samples_split': 4, 'n_estimators': 683}"
0.8331930808789153,"{'max_depth': 11, 'min_samples_split': 4, 'n_estimators': 722}"
0.8353669939223936,"{'max_depth': 11, 'min_samples_split': 4, 'n_estimators': 762}"
0.8353669939223936,"{'max_depth': 11, 'min_samples_split': 4, 'n_estimators': 802}"
0.8375409069658719,"{'max_depth': 11, 'min_samples_split': 4, 'n_estimators': 841}"
0.8353669939223936,"{'max_depth': 11, 'min_samples_split': 4, 'n_estimators': 881}"
0.8331930808789153,"{'max_depth': 11, 'min_samples_split': 4, 'n_estimators': 920}"
0.8331930808789153,"{'max_depth': 11, 'min_samples_split': 4, 'n_estimators': 960}"
0.8331930808789153,"{'max_depth': 11, 'min_samples_split': 4, 'n_estimators': 1000}"
0.8180925666199158,"{'max_depth': 11, 'min_samples_split': 5, 'n_estimators': 50}"
0.8224170172978027,"{'max_depth': 11, 'min_samples_split': 5, 'n_estimators': 89}"
0.8310191678354372,"{'max_depth': 11, 'min_samples_split': 5, 'n_estimators': 129}"
0.8245441795231416,"{'max_depth': 11, 'min_samples_split': 5, 'n_estimators': 168}"
0.8288686302010285,"{'max_depth': 11, 'min_samples_split': 5, 'n_estimators': 208}"
0.8266947171575503,"{'max_depth': 11, 'min_samples_split': 5, 'n_estimators': 247}"
0.8310425432445067,"{'max_depth': 11, 'min_samples_split': 5, 'n_estimators': 287}"
0.8310425432445067,"{'max_depth': 11, 'min_samples_split': 5, 'n_estimators': 327}"
0.8223702664796633,"{'max_depth': 11, 'min_samples_split': 5, 'n_estimators': 366}"
0.8245208041140719,"{'max_depth': 11, 'min_samples_split': 5, 'n_estimators': 406}"
0.8223702664796635,"{'max_depth': 11, 'min_samples_split': 5, 'n_estimators': 445}"
0.8266947171575503,"{'max_depth': 11, 'min_samples_split': 5, 'n_estimators': 485}"
0.8245208041140719,"{'max_depth': 11, 'min_samples_split': 5, 'n_estimators': 525}"
0.8223468910705938,"{'max_depth': 11, 'min_samples_split': 5, 'n_estimators': 564}"
0.8266713417484806,"{'max_depth': 11, 'min_samples_split': 5, 'n_estimators': 604}"
0.8223702664796633,"{'max_depth': 11, 'min_samples_split': 5, 'n_estimators': 643}"
0.8245208041140721,"{'max_depth': 11, 'min_samples_split': 5, 'n_estimators': 683}"
0.8223702664796635,"{'max_depth': 11, 'min_samples_split': 5, 'n_estimators': 722}"
0.8245441795231419,"{'max_depth': 11, 'min_samples_split': 5, 'n_estimators': 762}"
0.8245441795231419,"{'max_depth': 11, 'min_samples_split': 5, 'n_estimators': 802}"
0.8223702664796635,"{'max_depth': 11, 'min_samples_split': 5, 'n_estimators': 841}"
0.8266947171575503,"{'max_depth': 11, 'min_samples_split': 5, 'n_estimators': 881}"
0.8266947171575503,"{'max_depth': 11, 'min_samples_split': 5, 'n_estimators': 920}"
0.8288686302010285,"{'max_depth': 11, 'min_samples_split': 5, 'n_estimators': 960}"
0.8288686302010285,"{'max_depth': 11, 'min_samples_split': 5, 'n_estimators': 1000}"
0.8050257129499766,"{'max_depth': 11, 'min_samples_split': 6, 'n_estimators': 50}"
0.8223702664796633,"{'max_depth': 11, 'min_samples_split': 6, 'n_estimators': 89}"
0.8310425432445069,"{'max_depth': 11, 'min_samples_split': 6, 'n_estimators': 129}"
0.822393641888733,"{'max_depth': 11, 'min_samples_split': 6, 'n_estimators': 168}"
0.8288452547919588,"{'max_depth': 11, 'min_samples_split': 6, 'n_estimators': 208}"
0.8310191678354372,"{'max_depth': 11, 'min_samples_split': 6, 'n_estimators': 247}"
0.8288686302010285,"{'max_depth': 11, 'min_samples_split': 6, 'n_estimators': 287}"
0.8309957924263675,"{'max_depth': 11, 'min_samples_split': 6, 'n_estimators': 327}"
0.8353436185133241,"{'max_depth': 11, 'min_samples_split': 6, 'n_estimators': 366}"
0.8288452547919588,"{'max_depth': 11, 'min_samples_split': 6, 'n_estimators': 406}"
0.8288686302010285,"{'max_depth': 11, 'min_samples_split': 6, 'n_estimators': 445}"
0.833216456287985,"{'max_depth': 11, 'min_samples_split': 6, 'n_estimators': 485}"
0.82671809256662,"{'max_depth': 11, 'min_samples_split': 6, 'n_estimators': 525}"
0.8245675549322113,"{'max_depth': 11, 'min_samples_split': 6, 'n_estimators': 564}"
0.8310659186535766,"{'max_depth': 11, 'min_samples_split': 6, 'n_estimators': 604}"
0.833216456287985,"{'max_depth': 11, 'min_samples_split': 6, 'n_estimators': 643}"
0.8289153810191678,"{'max_depth': 11, 'min_samples_split': 6, 'n_estimators': 683}"
0.8245675549322111,"{'max_depth': 11, 'min_samples_split': 6, 'n_estimators': 722}"
0.8267414679756897,"{'max_depth': 11, 'min_samples_split': 6, 'n_estimators': 762}"
0.8245675549322111,"{'max_depth': 11, 'min_samples_split': 6, 'n_estimators': 802}"
0.8245675549322111,"{'max_depth': 11, 'min_samples_split': 6, 'n_estimators': 841}"
0.8245675549322111,"{'max_depth': 11, 'min_samples_split': 6, 'n_estimators': 881}"
0.8267414679756897,"{'max_depth': 11, 'min_samples_split': 6, 'n_estimators': 920}"
0.8245675549322111,"{'max_depth': 11, 'min_samples_split': 6, 'n_estimators': 960}"
0.8245675549322111,"{'max_depth': 11, 'min_samples_split': 6, 'n_estimators': 1000}"
0.8028284244974287,"{'max_depth': 11, 'min_samples_split': 7, 'n_estimators': 50}"
0.8137213651238897,"{'max_depth': 11, 'min_samples_split': 7, 'n_estimators': 89}"
0.8289153810191678,"{'max_depth': 11, 'min_samples_split': 7, 'n_estimators': 129}"
0.82671809256662,"{'max_depth': 11, 'min_samples_split': 7, 'n_estimators': 168}"
0.8267414679756897,"{'max_depth': 11, 'min_samples_split': 7, 'n_estimators': 208}"
0.8224170172978027,"{'max_depth': 11, 'min_samples_split': 7, 'n_estimators': 247}"
0.82671809256662,"{'max_depth': 11, 'min_samples_split': 7, 'n_estimators': 287}"
0.82671809256662,"{'max_depth': 11, 'min_samples_split': 7, 'n_estimators': 327}"
0.822393641888733,"{'max_depth': 11, 'min_samples_split': 7, 'n_estimators': 366}"
0.8245675549322113,"{'max_depth': 11, 'min_samples_split': 7, 'n_estimators': 406}"
0.822393641888733,"{'max_depth': 11, 'min_samples_split': 7, 'n_estimators': 445}"
0.8267414679756897,"{'max_depth': 11, 'min_samples_split': 7, 'n_estimators': 485}"
0.8289153810191678,"{'max_depth': 11, 'min_samples_split': 7, 'n_estimators': 525}"
0.8310892940626461,"{'max_depth': 11, 'min_samples_split': 7, 'n_estimators': 564}"
0.8289153810191678,"{'max_depth': 11, 'min_samples_split': 7, 'n_estimators': 604}"
0.8310892940626461,"{'max_depth': 11, 'min_samples_split': 7, 'n_estimators': 643}"
0.8289153810191678,"{'max_depth': 11, 'min_samples_split': 7, 'n_estimators': 683}"
0.8267414679756897,"{'max_depth': 11, 'min_samples_split': 7, 'n_estimators': 722}"
0.8289153810191678,"{'max_depth': 11, 'min_samples_split': 7, 'n_estimators': 762}"
0.8289153810191678,"{'max_depth': 11, 'min_samples_split': 7, 'n_estimators': 802}"
0.8288920056100982,"{'max_depth': 11, 'min_samples_split': 7, 'n_estimators': 841}"
0.8288920056100982,"{'max_depth': 11, 'min_samples_split': 7, 'n_estimators': 881}"
0.8288920056100982,"{'max_depth': 11, 'min_samples_split': 7, 'n_estimators': 920}"
0.82671809256662,"{'max_depth': 11, 'min_samples_split': 7, 'n_estimators': 960}"
0.82671809256662,"{'max_depth': 11, 'min_samples_split': 7, 'n_estimators': 1000}"
0.8202431042543245,"{'max_depth': 11, 'min_samples_split': 8, 'n_estimators': 50}"
