mean_test_score,max_depth,min_samples_split,n_estimators
,12,1,180
,12,1,181
,12,1,182
,12,1,183
,12,1,184
,12,1,185
,12,1,186
,12,1,187
,12,1,188
,12,1,189
,12,1,190
,12,1,191
,12,1,192
,12,1,193
,12,1,194
,12,1,195
,12,1,196
,12,1,197
,12,1,198
,12,1,199
,12,1,200
,12,1,201
,12,1,202
,12,1,203
,12,1,204
,12,1,205
,12,1,206
,12,1,207
,12,1,208
,12,1,209
,12,1,210
,12,1,211
,12,1,212
,12,1,213
,12,1,214
,12,1,215
,12,1,216
,12,1,217
,12,1,218
,12,1,220
0.8418653576437588,12,2,180
0.8418653576437588,12,2,181
0.8440158952781674,12,2,182
0.8440158952781674,12,2,183
0.8440158952781674,12,2,184
0.8440158952781674,12,2,185
0.8440158952781674,12,2,186
0.8440158952781674,12,2,187
0.8440158952781674,12,2,188
0.8418653576437588,12,2,189
0.8418653576437588,12,2,190
0.8397148200093503,12,2,191
0.8397148200093503,12,2,192
0.8397148200093503,12,2,193
0.8397148200093503,12,2,194
0.8418653576437588,12,2,195
0.8440158952781674,12,2,196
0.8439925198690977,12,2,197
0.8418419822346891,12,2,198
0.8418419822346891,12,2,199
0.8418419822346891,12,2,200
0.8418419822346891,12,2,201
0.8418419822346891,12,2,202
0.8396914446002806,12,2,203
0.8418419822346891,12,2,204
0.8418419822346891,12,2,205
0.8396914446002806,12,2,206
0.8418419822346891,12,2,207
0.8418419822346891,12,2,208
0.8396914446002806,12,2,209
0.8418419822346891,12,2,210
0.8418653576437588,12,2,211
0.8439925198690977,12,2,212
0.8440158952781674,12,2,213
0.8439925198690977,12,2,214
0.8418653576437588,12,2,215
0.8440158952781674,12,2,216
0.8483403459560541,12,2,217
0.846166432912576,12,2,218
0.846166432912576,12,2,220
0.8418419822346891,12,3,180
0.8396914446002806,12,3,181
0.8418419822346891,12,3,182
0.8418419822346891,12,3,183
0.8375175315568022,12,3,184
0.8375175315568022,12,3,185
0.8375175315568022,12,3,186
0.8418419822346891,12,3,187
0.8375175315568022,12,3,188
0.8396914446002806,12,3,189
0.8418419822346891,12,3,190
0.8439925198690977,12,3,191
0.8418186068256194,12,3,192
0.8439925198690977,12,3,193
