mean_test_score,max_depth,min_samples_split,n_estimators
,11,1,50
,11,1,89
,11,1,129
,11,1,168
,11,1,208
,11,1,247
,11,1,287
,11,1,327
,11,1,366
,11,1,406
,11,1,445
,11,1,485
,11,1,525
,11,1,564
,11,1,604
,11,1,643
,11,1,683
,11,1,722
,11,1,762
,11,1,802
,11,1,841
,11,1,881
,11,1,920
,11,1,960
,11,1,1000
0.8397849462365592,11,2,50
0.8548854604955587,11,2,89
0.8418887330528285,11,2,129
0.8418653576437588,11,2,168
0.8375409069658719,11,2,208
0.8418419822346891,11,2,247
0.8418419822346891,11,2,287
0.8396914446002806,11,2,327
0.8396914446002806,11,2,366
0.8353436185133241,11,2,406
0.8418419822346891,11,2,445
0.8396914446002806,11,2,485
0.8396680691912108,11,2,525
0.8396680691912108,11,2,564
0.8418186068256194,11,2,604
0.8396680691912108,11,2,643
0.8396914446002806,11,2,683
0.8396914446002806,11,2,722
0.8440392706872369,11,2,762
0.8418653576437588,11,2,802
0.8396914446002806,11,2,841
0.8418653576437588,11,2,881
0.8462131837307153,11,2,920
0.8440392706872369,11,2,960
0.8440392706872369,11,2,1000
0.8396914446002806,11,3,50
0.8418419822346891,11,3,89
0.8461898083216457,11,3,129
0.8461430575035063,11,3,168
0.843969144460028,11,3,208
0.8461430575035063,11,3,247
0.8439925198690977,11,3,287
0.8418653576437588,11,3,327
0.8418653576437588,11,3,366
0.8418653576437588,11,3,406
0.8353903693314633,11,3,445
0.8418887330528285,11,3,485
0.8396914446002806,11,3,525
0.8375409069658719,11,3,564
0.83971482000935,11,3,604
0.8418653576437588,11,3,643
0.8353903693314633,11,3,683
0.83971482000935,11,3,722
0.83971482000935,11,3,762
0.83971482000935,11,3,802
0.8418653576437588,11,3,841
0.8418653576437588,11,3,881
0.8418653576437588,11,3,920
0.8418653576437588,11,3,960
0.8440392706872369,11,3,1000
0.8419121084618981,11,4,50
0.8418419822346891,11,4,89
0.8353669939223938,11,4,129
0.8353202431042543,11,4,168
0.8396680691912108,11,4,208
0.8353669939223936,11,4,247
0.8375175315568022,11,4,287
0.8353669939223936,11,4,327
0.8353669939223936,11,4,366
0.8331697054698457,11,4,406
0.8353669939223938,11,4,445
0.8353669939223938,11,4,485
0.8331930808789154,11,4,525
0.8353436185133241,11,4,564
0.8353202431042543,11,4,604
0.8353436185133241,11,4,643
0.8353436185133241,11,4,683
0.8331930808789153,11,4,722
0.8353669939223936,11,4,762
0.8353669939223936,11,4,802
0.8375409069658719,11,4,841
0.8353669939223936,11,4,881
0.8331930808789153,11,4,920
0.8331930808789153,11,4,960
0.8331930808789153,11,4,1000
0.8180925666199158,11,5,50
0.8224170172978027,11,5,89
0.8310191678354372,11,5,129
0.8245441795231416,11,5,168
0.8288686302010285,11,5,208
0.8266947171575503,11,5,247
0.8310425432445067,11,5,287
0.8310425432445067,11,5,327
0.8223702664796633,11,5,366
0.8245208041140719,11,5,406
